id,grade,percent,area
1,6,0.1023255814,5
,7,0.1162790698,5
,8,0.1209302326,5
,9,0.1209302326,5
,10,0.1209302326,5
,11,0.1209302326,5
,12,0.1162790698,5
,13,0.09302325581,5
,14,0.04651162791,5
,15,0.02325581395,5
,16,0.009302325581,5
,17,0.004651162791,5
,18,0.004651162791,5
,6,0.1023255814,10
,7,0.1162790698,10
,8,0.1209302326,10
,9,0.1209302326,10
,10,0.1209302326,10
,11,0.1209302326,10
,12,0.1162790698,10
,13,0.09302325581,10
,14,0.04651162791,10
,15,0.02325581395,10
,16,0.009302325581,10
,17,0.004651162791,10
,18,0.004651162791,10
,36,0.04,12
,35,0.06,12
,34,0.10,12
,33,0.10,12
,32,0.08,12
,31,0.12,12
,30,0.08,12
,29,0.08,12
,28,0.08,12
,27,0.04,12
,26,0.05,12
,25,0.04,12
,24,0.02,12
,23,0.03,12
,22,0.00,12
,21,0.00,12
,20,0.00,12
