id,anchor,status,date_created,date_retired,color,grade,area,setter
1,,1,2/22/2018,,5,9,8,2
2,,1,2/22/2018,,4,9,8,2
3,,1,2/22/2018,,9,9,8,2
4,,1,2/22/2018,,6,10,8,3
5,,1,2/22/2018,,3,11,8,2
6,,1,2/22/2018,,10,12,8,3
7,,1,2/27/2018,,2,12,11,2
8,,1,3/2/2018,,8,13,11,3
9,,1,3/2/2018,,6,11,11,3
10,,1,3/2/2018,,9,12,11,4
11,,1,3/2/2018,,2,11,11,2
12,,1,3/2/2018,,8,8,11,2
13,,1,3/2/2018,,3,8,11,4
14,,1,3/2/2018,,5,6,11,2
15,,1,3/2/2018,,4,13,11,3
16,,1,3/2/2018,,7,7,11,3
17,,1,3/2/2018,,9,12,11,2
18,,1,3/2/2018,,3,13,11,4
19,,1,3/5/2018,,4,9,2,1
20,,1,3/5/2018,,9,9,3,3
21,,1,3/5/2018,,6,12,3,2
22,,1,3/5/2018,,8,11,3,1
23,,1,3/5/2018,,10,12,3,3
24,,1,3/5/2018,,3,10,3,3
25,,1,3/5/2018,,2,12,3,1
26,,1,3/5/2018,,4,8,3,4
27,,1,3/5/2018,,5,10,3,4
28,,1,3/5/2018,,4,8,3,4
29,,1,3/5/2018,,6,9,3,2
30,,1,3/5/2018,,7,7,3,3
31,,1,3/5/2018,,3,10,3,2
32,,1,3/5/2018,,6,8,3,2
33,,1,3/5/2018,,9,12,3,4
34,,1,3/5/2018,,10,15,3,3
35,,1,3/5/2018,,2,13,3,2
36,,1,3/9/2018,,3,16,4,3
37,,1,3/9/2018,,7,10,4,4
38,,1,3/9/2018,,10,7,4,3
39,,1,3/9/2018,,10,8,4,3
40,,1,3/9/2018,,6,11,4,3
41,,1,3/9/2018,,8,12,4,4
42,,1,3/9/2018,,5,14,4,4
43,,1,3/15/2018,,4,9,9,3
44,,1,3/15/2018,,5,12,9,2
45,,1,3/15/2018,,7,10,9,1
46,,1,3/15/2018,,6,10,9,2
47,,1,3/15/2018,,10,17,9,1
48,,1,3/15/2018,,3,15,9,3
49,,1,3/15/2018,,9,6,9,2
50,,1,3/15/2018,,9,6,9,5
51,,1,3/15/2018,,7,7,9,5
52,,1,3/15/2018,,5,8,9,2
53,,1,3/15/2018,,8,10,9,3
54,,1,3/15/2018,,3,9,9,1
55,,1,3/15/2018,,2,10,9,5
56,,1,3/15/2018,,4,11,9,3
57,,1,3/15/2018,,6,8,9,5
58,,1,3/19/2018,,4,7,4,2
59,,1,3/19/2018,,3,13,4,3
60,,1,3/19/2018,,2,13,4,3
61,,1,3/19/2018,,10,11,4,4
62,,1,3/19/2018,,6,10,4,2
63,,1,3/19/2018,,9,12,5,4
64,,1,3/19/2018,,5,12,5,2
65,,1,3/19/2018,,6,6,5,4
66,,1,3/20/2018,,7,6,4,2
67,,1,3/20/2018,,8,10,5,2
68,,1,3/20/2018,,7,7,5,2
69,,1,3/20/2018,,3,17,5,2
70,,1,3/20/2018,,2,9,5,3
71,,1,3/22/2018,,10,10,5,3
72,,1,3/22/2018,,5,7,5,2
73,,1,3/22/2018,,4,6,5,3
74,,1,3/22/2018,,7,8,5,4
75,,1,3/22/2018,,8,13,5,3
76,,1,3/22/2018,,9,11,5,2
77,,1,3/22/2018,,3,12,5,2
78,,1,3/22/2018,,6,9,5,3
79,,1,3/22/2018,,2,6,5,2
80,,1,3/22/2018,,4,7,5,3
81,,1,3/22/2018,,5,11,5,2
82,,1,3/23/2018,,7,8,10,4
83,,1,3/23/2018,,9,10,10,3
84,,1,3/23/2018,,8,7,10,3
85,,1,3/23/2018,,6,12,10,3
86,,1,3/23/2018,,2,9,10,4
87,,1,3/23/2018,,10,11,10,3
88,,1,3/23/2018,,3,10,10,3
89,,1,3/23/2018,,9,13,10,4
90,,1,3/23/2018,,8,11,10,4
91,,1,3/23/2018,,4,9,10,4
92,,1,3/26/2018,,10,10,5,3
93,,1,3/26/2018,,8,9,5,3
94,,1,3/26/2018,,7,8,5,3
95,,1,3/26/2018,,9,10,5,3
96,,1,3/26/2018,,6,13,5,3
97,,1,3/26/2018,,3,10,5,3
98,,1,3/30/2018,,2,6,5,2
99,,1,3/30/2018,,10,9,5,3
100,,1,3/30/2018,,9,8,5,2
101,,1,3/30/2018,,7,8,5,3
102,,1,3/30/2018,,4,10,5,3
103,,1,3/30/2018,,5,12,5,3
104,,1,3/30/2018,,7,11,5,3
105,,1,3/30/2018,,8,10,5,2
106,,1,4/3/2018,,5,8,10,2
