id,grade,percent,gym
1,6,0.10,1
2,7,0.12,1
3,8,0.12,1
4,9,0.12,1
5,10,0.12,1
6,11,0.12,1
7,12,0.12,1
8,13,0.09,1
9,14,0.05,1
10,15,0.02,1
11,16,0.01,1
12,17,0.00,1
13,18,0.00,1
14,19,0.00,1
15,20,0.04545454545,1
16,21,0.09090909091,1
17,22,0.09090909091,1
18,23,0.09090909091,1
19,24,0.09090909091,1
20,25,0.1,1
21,26,0.09090909091,1
22,27,0.09090909091,1
23,28,0.08181818182,1
24,29,0.04545454545,1
25,30,0.03636363636,1
26,31,0.02727272727,1
27,32,0.01818181818,1
28,33,0.01818181818,1
29,34,0,1
30,35,0,1
31,36,0,1
